index,shape-type,vertex-index,axis-0,axis-1,axis-2
51,path,0,5.0,20.0,6.0
51,path,1,6.0,20.0,6.0
51,path,2,7.0,19.0,6.0
52,path,0,5.0,25.0,21.0
52,path,1,5.0,24.0,21.0
52,path,2,5.0,23.0,22.0
52,path,3,5.0,23.0,23.0
52,path,4,6.0,24.0,24.0
52,path,5,7.0,25.0,23.0
52,path,6,6.0,26.0,22.0
53,path,0,5.0,25.0,21.0
53,path,1,6.0,26.0,22.0
54,path,0,5.0,26.0,15.0
54,path,1,6.0,25.0,14.0
54,path,2,6.0,24.0,13.0
55,path,0,6.0,3.0,24.0
55,path,1,7.0,3.0,24.0
56,path,0,6.0,10.0,18.0
56,path,1,6.0,11.0,19.0
56,path,2,6.0,12.0,19.0
56,path,3,7.0,13.0,20.0
56,path,4,8.0,12.0,21.0
57,path,0,6.0,10.0,25.0
57,path,1,7.0,11.0,24.0
57,path,2,7.0,11.0,23.0
58,path,0,6.0,19.0,31.0
58,path,1,7.0,20.0,31.0
59,path,0,6.0,22.0,7.0
59,path,1,7.0,22.0,7.0
59,path,2,8.0,23.0,6.0
60,path,0,6.0,24.0,13.0
60,path,1,7.0,25.0,12.0
60,path,2,8.0,26.0,12.0
60,path,3,8.0,27.0,12.0
61,path,0,6.0,25.0,31.0
61,path,1,6.0,24.0,31.0
61,path,2,6.0,23.0,31.0
61,path,3,6.0,22.0,30.0
61,path,4,6.0,21.0,30.0
61,path,5,7.0,20.0,31.0
62,path,0,7.0,11.0,23.0
62,path,1,8.0,10.0,23.0
62,path,2,9.0,9.0,22.0
63,path,0,7.0,11.0,23.0
63,path,1,8.0,12.0,22.0
63,path,2,8.0,12.0,21.0
64,path,0,7.0,19.0,15.0
64,path,1,8.0,18.0,16.0
65,path,0,7.0,20.0,31.0
65,path,1,8.0,21.0,31.0
66,path,0,7.0,29.0,10.0
66,path,1,8.0,28.0,11.0
66,path,2,8.0,27.0,12.0
67,path,0,8.0,12.0,21.0
67,path,1,9.0,12.0,20.0
67,path,2,10.0,11.0,19.0
67,path,3,11.0,10.0,20.0
68,path,0,8.0,20.0,0.0
68,path,1,9.0,21.0,1.0
68,path,2,10.0,21.0,2.0
69,path,0,8.0,27.0,12.0
69,path,1,9.0,28.0,12.0
69,path,2,10.0,29.0,11.0
69,path,3,11.0,30.0,11.0
69,path,4,12.0,31.0,12.0
69,path,5,13.0,31.0,12.0
70,path,0,8.0,29.0,18.0
70,path,1,9.0,30.0,17.0
70,path,2,9.0,31.0,18.0
70,path,3,10.0,31.0,19.0
70,path,4,10.0,31.0,20.0
70,path,5,10.0,31.0,21.0
70,path,6,10.0,31.0,22.0
71,path,0,9.0,8.0,17.0
71,path,1,9.0,8.0,18.0
72,path,0,9.0,15.0,5.0
72,path,1,10.0,16.0,5.0
72,path,2,11.0,17.0,4.0
72,path,3,11.0,17.0,3.0
72,path,4,11.0,16.0,2.0
72,path,5,11.0,15.0,1.0
72,path,6,11.0,16.0,0.0
72,path,7,11.0,17.0,0.0
72,path,8,11.0,18.0,0.0
72,path,9,11.0,19.0,0.0
72,path,10,11.0,20.0,0.0
72,path,11,11.0,21.0,1.0
72,path,12,10.0,21.0,2.0
73,path,0,10.0,2.0,17.0
73,path,1,10.0,2.0,18.0
73,path,2,11.0,1.0,19.0
74,path,0,10.0,10.0,31.0
74,path,1,10.0,11.0,31.0
75,path,0,10.0,13.0,28.0
75,path,1,11.0,13.0,29.0
75,path,2,12.0,13.0,29.0
75,path,3,13.0,13.0,30.0
75,path,4,13.0,13.0,31.0
76,path,0,10.0,21.0,2.0
76,path,1,10.0,21.0,3.0
76,path,2,11.0,21.0,4.0
76,path,3,12.0,21.0,4.0
77,path,0,10.0,22.0,12.0
77,path,1,9.0,22.0,11.0
77,path,2,9.0,21.0,10.0
77,path,3,10.0,21.0,9.0
77,path,4,11.0,20.0,8.0
77,path,5,12.0,19.0,7.0
77,path,6,13.0,20.0,6.0
77,path,7,12.0,21.0,5.0
77,path,8,12.0,21.0,4.0
78,path,0,10.0,22.0,12.0
78,path,1,11.0,21.0,12.0
79,path,0,10.0,22.0,12.0
79,path,1,11.0,23.0,12.0
79,path,2,12.0,24.0,11.0
79,path,3,13.0,25.0,11.0
79,path,4,14.0,24.0,10.0
79,path,5,15.0,23.0,9.0
79,path,6,16.0,23.0,8.0
79,path,7,17.0,23.0,8.0
80,path,0,10.0,22.0,21.0
80,path,1,10.0,22.0,20.0
80,path,2,11.0,21.0,19.0
81,path,0,10.0,29.0,5.0
81,path,1,11.0,29.0,6.0
82,path,0,11.0,2.0,23.0
82,path,1,12.0,2.0,23.0
82,path,2,13.0,3.0,24.0
82,path,3,14.0,4.0,24.0
82,path,4,13.0,5.0,23.0
82,path,5,14.0,6.0,22.0
82,path,6,13.0,6.0,21.0
82,path,7,14.0,7.0,20.0
83,path,0,11.0,9.0,4.0
83,path,1,12.0,8.0,5.0
84,path,0,11.0,15.0,16.0
84,path,1,11.0,16.0,17.0
84,path,2,12.0,17.0,18.0
84,path,3,13.0,16.0,18.0
85,path,0,11.0,18.0,31.0
85,path,1,11.0,19.0,31.0
86,path,0,11.0,24.0,31.0
86,path,1,11.0,25.0,31.0
87,path,0,11.0,25.0,16.0
87,path,1,12.0,24.0,16.0
88,path,0,11.0,30.0,26.0
88,path,1,12.0,31.0,27.0
88,path,2,12.0,31.0,28.0
88,path,3,12.0,31.0,29.0
88,path,4,13.0,30.0,30.0
88,path,5,14.0,30.0,31.0
88,path,6,15.0,30.0,31.0
89,path,0,12.0,0.0,7.0
89,path,1,13.0,0.0,6.0
90,path,0,12.0,7.0,11.0
90,path,1,13.0,8.0,12.0
90,path,2,14.0,9.0,12.0
90,path,3,14.0,10.0,11.0
90,path,4,13.0,11.0,10.0
90,path,5,13.0,12.0,9.0
91,path,0,12.0,21.0,4.0
91,path,1,13.0,22.0,3.0
92,path,0,12.0,25.0,22.0
92,path,1,13.0,25.0,21.0
92,path,2,13.0,25.0,20.0
93,path,0,13.0,1.0,15.0
93,path,1,13.0,2.0,15.0
94,path,0,13.0,1.0,31.0
94,path,1,14.0,0.0,31.0
94,path,2,15.0,1.0,31.0
95,path,0,13.0,12.0,9.0
95,path,1,12.0,12.0,9.0
95,path,2,11.0,11.0,8.0
95,path,3,12.0,12.0,7.0
95,path,4,13.0,12.0,7.0
95,path,5,14.0,12.0,8.0
95,path,6,13.0,12.0,9.0
96,path,0,13.0,13.0,1.0
96,path,1,14.0,13.0,2.0
96,path,2,14.0,14.0,3.0
96,path,3,15.0,14.0,4.0
97,path,0,13.0,16.0,18.0
97,path,1,13.0,16.0,19.0
97,path,2,14.0,15.0,20.0
97,path,3,14.0,16.0,21.0
97,path,4,15.0,16.0,22.0
98,path,0,13.0,16.0,18.0
98,path,1,14.0,15.0,17.0
99,path,0,13.0,16.0,18.0
99,path,1,14.0,17.0,17.0
99,path,2,14.0,16.0,16.0
99,path,3,14.0,15.0,17.0
100,path,0,13.0,26.0,14.0
100,path,1,13.0,27.0,15.0
101,path,0,13.0,27.0,27.0
101,path,1,14.0,27.0,27.0
102,path,0,14.0,3.0,4.0
102,path,1,14.0,3.0,5.0
103,path,0,14.0,11.0,3.0
103,path,1,14.0,11.0,4.0
104,path,0,14.0,15.0,17.0
104,path,1,15.0,14.0,17.0
104,path,2,16.0,13.0,17.0
104,path,3,16.0,12.0,16.0
104,path,4,17.0,11.0,15.0
105,path,0,14.0,15.0,26.0
105,path,1,15.0,15.0,26.0
106,path,0,14.0,19.0,27.0
106,path,1,15.0,19.0,27.0
107,path,0,15.0,0.0,3.0
107,path,1,16.0,0.0,3.0
107,path,2,17.0,0.0,2.0
107,path,3,18.0,1.0,2.0
107,path,4,17.0,2.0,2.0
107,path,5,16.0,2.0,1.0
107,path,6,15.0,2.0,0.0
108,path,0,15.0,13.0,22.0
108,path,1,16.0,13.0,22.0
108,path,2,17.0,13.0,22.0
109,path,0,15.0,16.0,6.0
109,path,1,15.0,16.0,7.0
109,path,2,15.0,16.0,8.0
109,path,3,14.0,16.0,9.0
109,path,4,15.0,16.0,10.0
109,path,5,15.0,16.0,11.0
109,path,6,16.0,17.0,12.0
110,path,0,15.0,20.0,3.0
110,path,1,16.0,19.0,4.0
110,path,2,17.0,19.0,4.0
110,path,3,18.0,18.0,3.0
111,path,0,15.0,24.0,0.0
111,path,1,15.0,25.0,0.0
112,path,0,15.0,28.0,12.0
112,path,1,16.0,29.0,13.0
113,path,0,16.0,20.0,19.0
113,path,1,15.0,21.0,20.0
113,path,2,16.0,21.0,21.0
113,path,3,17.0,20.0,20.0
113,path,4,16.0,20.0,19.0
114,path,0,16.0,20.0,19.0
114,path,1,17.0,19.0,19.0
114,path,2,17.0,18.0,18.0
114,path,3,18.0,17.0,17.0
115,path,0,16.0,23.0,30.0
115,path,1,16.0,23.0,29.0
115,path,2,17.0,23.0,28.0
116,path,0,16.0,29.0,13.0
116,path,1,16.0,29.0,14.0
117,path,0,16.0,29.0,13.0
117,path,1,16.0,30.0,12.0
118,path,0,16.0,30.0,18.0
118,path,1,16.0,30.0,19.0
118,path,2,17.0,30.0,20.0
118,path,3,18.0,31.0,21.0
118,path,4,19.0,30.0,22.0
118,path,5,18.0,29.0,23.0
119,path,0,17.0,2.0,25.0
119,path,1,16.0,1.0,24.0
119,path,2,16.0,1.0,23.0
119,path,3,16.0,1.0,22.0
119,path,4,16.0,2.0,21.0
119,path,5,16.0,2.0,20.0
119,path,6,17.0,3.0,19.0
119,path,7,18.0,2.0,18.0
119,path,8,18.0,2.0,17.0
119,path,9,19.0,2.0,16.0
120,path,0,17.0,5.0,30.0
120,path,1,17.0,5.0,29.0
120,path,2,17.0,6.0,28.0
120,path,3,17.0,7.0,28.0
120,path,4,17.0,8.0,28.0
120,path,5,17.0,9.0,29.0
120,path,6,18.0,10.0,30.0
121,path,0,17.0,13.0,5.0
121,path,1,18.0,12.0,5.0
121,path,2,19.0,12.0,4.0
121,path,3,20.0,11.0,4.0
121,path,4,21.0,10.0,3.0
122,path,0,17.0,14.0,30.0
122,path,1,17.0,13.0,31.0
122,path,2,17.0,12.0,31.0
122,path,3,17.0,11.0,31.0
122,path,4,18.0,10.0,30.0
123,path,0,18.0,10.0,30.0
123,path,1,19.0,10.0,30.0
124,path,0,18.0,15.0,13.0
124,path,1,19.0,15.0,13.0
124,path,2,20.0,15.0,14.0
125,path,0,18.0,16.0,2.0
125,path,1,18.0,17.0,2.0
125,path,2,18.0,18.0,2.0
126,path,0,18.0,18.0,2.0
126,path,1,18.0,18.0,3.0
127,path,0,18.0,18.0,2.0
127,path,1,19.0,19.0,1.0
128,path,0,18.0,18.0,3.0
128,path,1,19.0,18.0,4.0
128,path,2,20.0,18.0,3.0
128,path,3,20.0,19.0,2.0
129,path,0,18.0,19.0,0.0
129,path,1,19.0,19.0,1.0
130,path,0,18.0,24.0,3.0
130,path,1,19.0,25.0,4.0
130,path,2,20.0,25.0,5.0
130,path,3,21.0,24.0,4.0
131,path,0,18.0,24.0,26.0
131,path,1,19.0,24.0,26.0
131,path,2,20.0,25.0,26.0
131,path,3,21.0,26.0,26.0
132,path,0,18.0,28.0,23.0
132,path,1,18.0,29.0,23.0
133,path,0,18.0,29.0,23.0
133,path,1,18.0,30.0,24.0
133,path,2,19.0,31.0,25.0
133,path,3,20.0,31.0,25.0
133,path,4,21.0,31.0,25.0
133,path,5,22.0,31.0,25.0
133,path,6,23.0,30.0,24.0
133,path,7,24.0,30.0,23.0
133,path,8,24.0,30.0,22.0
133,path,9,23.0,29.0,21.0
133,path,10,24.0,28.0,20.0
133,path,11,24.0,27.0,19.0
133,path,12,25.0,26.0,18.0
134,path,0,19.0,3.0,9.0
134,path,1,19.0,4.0,9.0
134,path,2,20.0,5.0,8.0
134,path,3,21.0,6.0,8.0
134,path,4,21.0,7.0,8.0
134,path,5,22.0,8.0,9.0
134,path,6,23.0,9.0,9.0
135,path,0,19.0,6.0,0.0
135,path,1,19.0,5.0,0.0
135,path,2,20.0,4.0,0.0
135,path,3,21.0,3.0,0.0
136,path,0,19.0,8.0,22.0
136,path,1,19.0,8.0,23.0
137,path,0,19.0,10.0,30.0
137,path,1,20.0,9.0,30.0
138,path,0,19.0,10.0,30.0
138,path,1,20.0,11.0,29.0
139,path,0,19.0,11.0,16.0
139,path,1,20.0,11.0,16.0
140,path,0,19.0,19.0,1.0
140,path,1,20.0,19.0,2.0
141,path,0,19.0,30.0,3.0
141,path,1,20.0,30.0,2.0
141,path,2,20.0,31.0,1.0
141,path,3,20.0,31.0,0.0
142,path,0,20.0,3.0,4.0
142,path,1,21.0,3.0,4.0
142,path,2,22.0,3.0,5.0
142,path,3,23.0,3.0,4.0
142,path,4,24.0,3.0,3.0
143,path,0,20.0,10.0,19.0
143,path,1,21.0,10.0,19.0
143,path,2,22.0,11.0,19.0
143,path,3,22.0,12.0,20.0
143,path,4,22.0,11.0,21.0
143,path,5,22.0,11.0,22.0
143,path,6,22.0,12.0,23.0
143,path,7,23.0,13.0,23.0
144,path,0,20.0,15.0,14.0
144,path,1,20.0,15.0,15.0
144,path,2,21.0,16.0,16.0
144,path,3,21.0,17.0,17.0
144,path,4,22.0,18.0,17.0
144,path,5,23.0,18.0,17.0
145,path,0,20.0,15.0,14.0
145,path,1,21.0,14.0,14.0
145,path,2,21.0,13.0,14.0
146,path,0,20.0,15.0,14.0
146,path,1,21.0,15.0,13.0
147,path,0,20.0,15.0,20.0
147,path,1,21.0,15.0,21.0
147,path,2,21.0,15.0,22.0
147,path,3,22.0,14.0,23.0
147,path,4,23.0,13.0,23.0
148,path,0,20.0,19.0,2.0
148,path,1,21.0,19.0,1.0
148,path,2,22.0,19.0,1.0
148,path,3,23.0,19.0,1.0
149,path,0,20.0,21.0,8.0
149,path,1,20.0,21.0,7.0
149,path,2,21.0,21.0,6.0
149,path,3,22.0,21.0,6.0
150,path,0,20.0,25.0,19.0
150,path,1,21.0,24.0,19.0
150,path,2,22.0,24.0,19.0
150,path,3,23.0,24.0,19.0
150,path,4,24.0,24.0,19.0
151,path,0,20.0,27.0,0.0
151,path,1,20.0,28.0,0.0
152,path,0,21.0,3.0,0.0
152,path,1,20.0,2.0,0.0
152,path,2,21.0,1.0,0.0
152,path,3,22.0,2.0,0.0
152,path,4,21.0,3.0,0.0
153,path,0,21.0,7.0,19.0
153,path,1,21.0,7.0,20.0
154,path,0,21.0,13.0,14.0
154,path,1,22.0,12.0,15.0
154,path,2,22.0,11.0,14.0
154,path,3,23.0,12.0,13.0
155,path,0,21.0,13.0,14.0
155,path,1,22.0,13.0,13.0
156,path,0,22.0,0.0,13.0
156,path,1,23.0,0.0,14.0
156,path,2,24.0,0.0,13.0
156,path,3,25.0,1.0,12.0
157,path,0,22.0,4.0,17.0
157,path,1,23.0,4.0,17.0
157,path,2,24.0,4.0,18.0
157,path,3,25.0,4.0,19.0
157,path,4,25.0,4.0,20.0
