index,shape-type,vertex-index,axis-0,axis-1,axis-2
202,path,0,28.0,23.0,18.0
202,path,1,28.0,23.0,17.0
202,path,2,28.0,23.0,16.0
202,path,3,29.0,24.0,15.0
202,path,4,30.0,25.0,14.0
202,path,5,31.0,26.0,13.0
202,path,6,31.0,27.0,13.0
203,path,0,28.0,23.0,18.0
203,path,1,29.0,22.0,19.0
204,path,0,28.0,23.0,18.0
204,path,1,29.0,24.0,18.0
204,path,2,29.0,25.0,18.0
205,path,0,28.0,31.0,25.0
205,path,1,29.0,31.0,24.0
205,path,2,29.0,30.0,23.0
205,path,3,29.0,29.0,23.0
206,path,0,28.0,31.0,25.0
206,path,1,29.0,31.0,26.0
206,path,2,30.0,31.0,27.0
206,path,3,30.0,31.0,28.0
207,path,0,29.0,11.0,15.0
207,path,1,29.0,11.0,16.0
208,path,0,29.0,19.0,27.0
208,path,1,29.0,19.0,28.0
209,path,0,29.0,22.0,19.0
209,path,1,29.0,22.0,20.0
209,path,2,29.0,22.0,21.0
209,path,3,29.0,21.0,22.0
209,path,4,30.0,20.0,22.0
210,path,0,29.0,22.0,19.0
210,path,1,30.0,21.0,18.0
211,path,0,29.0,25.0,18.0
211,path,1,30.0,26.0,18.0
212,path,0,29.0,29.0,31.0
212,path,1,30.0,29.0,31.0
212,path,2,31.0,29.0,31.0
213,path,0,30.0,3.0,27.0
213,path,1,31.0,2.0,26.0
213,path,2,31.0,1.0,26.0
214,path,0,30.0,21.0,18.0
214,path,1,31.0,20.0,18.0
214,path,2,31.0,19.0,18.0
214,path,3,31.0,18.0,18.0
214,path,4,31.0,17.0,17.0
214,path,5,31.0,16.0,16.0
214,path,6,31.0,15.0,15.0
215,path,0,30.0,21.0,18.0
215,path,1,31.0,22.0,19.0
215,path,2,31.0,23.0,20.0
216,path,0,30.0,26.0,18.0
216,path,1,31.0,25.0,18.0
216,path,2,31.0,24.0,19.0
217,path,0,30.0,26.0,18.0
217,path,1,31.0,26.0,19.0
218,path,0,31.0,2.0,1.0
218,path,1,31.0,3.0,2.0
218,path,2,31.0,4.0,3.0
219,path,0,31.0,13.0,1.0
219,path,1,31.0,14.0,1.0
220,path,0,31.0,13.0,5.0
220,path,1,31.0,14.0,5.0
221,path,0,31.0,13.0,10.0
221,path,1,31.0,14.0,10.0
222,path,0,31.0,14.0,21.0
222,path,1,31.0,15.0,21.0
223,path,0,31.0,14.0,28.0
223,path,1,31.0,15.0,28.0
224,path,0,31.0,17.0,11.0
224,path,1,31.0,18.0,11.0
225,path,0,31.0,18.0,0.0
225,path,1,31.0,19.0,0.0
226,path,0,31.0,21.0,6.0
226,path,1,31.0,20.0,7.0
226,path,2,31.0,21.0,8.0
226,path,3,31.0,22.0,7.0
227,path,0,31.0,21.0,6.0
227,path,1,31.0,22.0,5.0
227,path,2,31.0,23.0,6.0
227,path,3,31.0,22.0,7.0
228,path,0,31.0,21.0,6.0
228,path,1,31.0,22.0,7.0
229,path,0,31.0,21.0,31.0
229,path,1,31.0,22.0,31.0
229,path,2,31.0,23.0,31.0
229,path,3,30.0,24.0,31.0
229,path,4,29.0,25.0,30.0
229,path,5,28.0,25.0,29.0
229,path,6,29.0,25.0,28.0
229,path,7,30.0,24.0,27.0
229,path,8,31.0,24.0,26.0
229,path,9,31.0,25.0,25.0
230,path,0,31.0,23.0,20.0
230,path,1,31.0,24.0,19.0
231,path,0,31.0,23.0,20.0
231,path,1,31.0,24.0,21.0
231,path,2,31.0,25.0,20.0
231,path,3,31.0,24.0,19.0
232,path,0,0.0,30.0,10.0
232,path,1,1.0,30.0,9.0
232,path,2,2.0,31.0,10.0
232,path,3,1.0,31.0,11.0
232,path,4,0.0,30.0,10.0
233,path,0,4.0,5.0,5.0
233,path,1,5.0,6.0,4.0
233,path,2,6.0,7.0,5.0
233,path,3,5.0,6.0,6.0
233,path,4,4.0,5.0,5.0
234,path,0,16.0,12.0,0.0
234,path,1,16.0,13.0,0.0
234,path,2,17.0,14.0,0.0
234,path,3,18.0,13.0,0.0
234,path,4,18.0,12.0,0.0
234,path,5,17.0,11.0,0.0
234,path,6,16.0,12.0,0.0
235,path,0,31.0,10.0,18.0
235,path,1,31.0,11.0,17.0
235,path,2,31.0,12.0,18.0
235,path,3,31.0,11.0,19.0
235,path,4,31.0,10.0,18.0
