label,original_label,min_intensity,max_intensity,sum_intensity,area,mean_intensity,centroid_x,centroid_y,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,avg_distance_of_2_nearest_neigbors,avg_distance_of_3_nearest_neigbors,avg_distance_of_4_nearest_neigbors,touching_neighbor_count
227,227,17,82,5391,98,55.010204,416.05103,388.7959,0,365.21527,3.7266865,366.00256,3.73472,18.68072,5.6841354,5.981775,1.5252519,1.6016662,12.395693,14.280742,16.038494,1
228,228,33,65,4232,81,52.246914,418.20987,58.74074,0,274.8515,3.3932285,274.84912,3.393199,6.8159776,5.3333426,5.3132014,1.5717605,1.5658385,27.97887,28.847326,30.095669,0
229,229,22,76,5060,92,54.999996,417.79346,315.65216,0,334.21344,3.6327546,334.24036,3.633047,12.715106,5.779504,5.7560515,1.5909425,1.5843592,14.617332,17.229918,19.254488,1
230,230,29,76,5108,95,53.768425,417.4737,445.1158,0,348.75787,3.6711357,348.80603,3.6716425,8.997605,5.682492,5.755009,1.5478839,1.5674208,19.434147,22.034798,23.98962,0
231,231,18,80,5052,89,56.76404,419.9438,367.84268,0,317.79904,3.5707755,317.83237,3.5711498,16.168371,5.7027946,5.7485733,1.5970745,1.6097262,14.17222,15.493926,16.27243,0
232,232,27,68,504,10,50.4,423.5,0.4,0,14.242204,1.4242204,14.329035,1.4329035,14.623268,2.531798,2.5873277,1.7776728,1.8056538,22.995735,30.438162,34.99338,0
233,233,24,72,4936,92,53.652172,422.3804,151.43477,0,344.5878,3.7455194,344.61786,3.745846,10.031943,6.586161,6.5525937,1.7584106,1.7492961,23.793842,26.477201,29.718693,0
234,234,15,103,9958,146,68.20548,422.99313,349.4863,0,672.9644,4.6093454,673.4755,4.612846,26.327473,7.7770967,7.670078,1.6872454,1.6627648,15.761952,16.710615,17.235537,1
235,235,24,77,5061,90,56.233334,423,405.45557,0,321.8289,3.5758767,321.8619,3.5762434,13.471822,5.570441,5.5843425,1.5577832,1.5615107,18.716953,19.497757,21.134703,0
236,236,17,154,4527,70,64.671425,427.0857,202.69998,0,220.95071,3.1564386,221.11977,3.1588535,38.994038,4.788088,4.8479214,1.5169272,1.5347091,21.00683,22.494057,25.418152,0
237,237,30,55,5225,115,45.43478,426.86954,295.11304,0,471.797,4.1025825,471.81958,4.102779,4.203788,7.187174,7.217534,1.7518657,1.7591819,18.42439,19.767956,20.577875,0
238,238,17,98,5526,101,54.71287,426.9604,317.47525,0,385.77725,3.8195767,385.96213,3.821407,24.626854,5.975997,6.0870576,1.5645704,1.5928838,9.982372,13.879208,16.000004,2
239,239,37,68,3780,77,49.090908,429.25974,84.68831,0,259.9252,3.375652,259.96097,3.3761165,6.0263104,5.782509,5.8511233,1.713005,1.7330928,22.289787,27.628819,31.389332,0
240,240,29,73,4307,81,53.17284,430.33334,127.34568,0,276.44534,3.4129055,276.51346,3.4137464,10.037941,5.373331,5.4564695,1.5744154,1.5983816,21.259983,27.663048,31.415005,0
241,241,29,71,8097,154,52.577923,433.95456,218.84416,0,721.88464,4.6875625,721.93066,4.6878614,8.203406,7.3678946,7.3841634,1.5717965,1.5751667,21.602573,23.080246,25.297344,0
242,242,16,109,11077,194,57.097935,436.42267,349.29895,0,1057.7609,5.4523754,1061.291,5.470572,24.289614,10.170709,10.706134,1.8653721,1.957041,14.005106,16.003332,17.590853,2
243,243,16,156,11259,148,76.07432,435.16888,363.8243,0,678.61237,4.5852184,678.86865,4.5869503,43.49761,7.1720495,7.193809,1.5641675,1.5683206,14.765,15.092154,16.02169,2
244,244,21,91,7730,135,57.25926,436.34814,180.05185,0,597.7923,4.428091,597.8587,4.428583,15.779482,7.242735,7.322653,1.6356337,1.6534978,21.524319,23.198048,25.359514,0
245,245,18,85,5302,102,51.980392,436.85297,321.33334,0,391.20477,3.835341,391.4361,3.8376088,18.039705,6.059765,6.044533,1.5799807,1.5750779,11.001879,13.3157,14.958826,2
246,246,21,95,9584,164,58.439022,439.4146,478.2317,0,813.1723,4.9583673,813.19,4.9584756,16.244396,8.628148,8.66779,1.7401187,1.7480756,24.390333,25.707787,27.278101,0
247,247,19,64,6479,131,49.458015,439.67175,11.083969,0,575.19,4.3907633,575.5675,4.3936453,10.487551,8.398493,8.609219,1.9127637,1.9594705,15.80133,20.29992,22.806818,1
248,248,25,79,4383,82,53.451218,441.59753,140.28049,0,284.40344,3.4683344,284.40945,3.4684079,10.453326,5.7421284,5.762513,1.6555867,1.6614289,19.685865,22.700644,26.206932,0
249,249,17,67,5821,121,48.107437,441.80164,377.2231,0,507.8263,4.1969113,508.13052,4.1994257,11.837608,7.7474213,7.7938247,1.8459816,1.8559263,14.203154,17.397327,19.719032,2
250,250,27,78,5673,103,55.07767,443.29126,76.24272,0,398.9708,3.873503,399.10355,3.8747919,12.385938,6.33974,6.296372,1.6366942,1.6249574,22.277863,25.046654,27.959953,0
251,251,18,93,10000,162,61.728397,443.39505,279.10495,0,785.4833,4.8486624,785.4857,4.848677,18.282766,7.8375044,7.843792,1.6164261,1.617718,24.83088,26.139479,26.89764,0
252,252,18,188,16848,224,75.21428,443.9955,403.81693,0,1280.9976,5.7187386,1282.4841,5.725375,44.104973,9.356428,9.636547,1.6361,1.6831293,18.30159,19.220848,21.086674,0
253,253,17,188,10976,139,78.96403,444.30933,420.43164,0,627.11536,4.511621,627.1203,4.5116568,62.015244,7.519393,7.527107,1.6666721,1.6683687,17.633812,18.347122,18.778816,0
254,254,21,101,5057,84,60.20238,446.1548,39.654762,0,290.6545,3.460173,290.86423,3.4626694,25.687119,5.3829594,5.4943852,1.5556909,1.5867485,12.1888485,17.8916,21.878874,1
255,255,18,96,5253,91,57.725273,445.41754,328.83514,0,328.0922,3.6054084,328.55032,3.6104429,23.739922,5.719922,5.966175,1.5864838,1.6524774,14.426437,16.710285,17.950933,1
256,256,24,77,9011,165,54.612118,447.74545,240.92726,0,803.2967,4.8684645,803.3267,4.8686466,10.7560215,7.822871,7.8516717,1.6068457,1.612701,21.853569,23.247578,25.301912,0
257,257,19,82,7672,131,58.564884,449.82443,4.2824426,0,582.79034,4.4487815,582.98157,4.450241,13.414757,8.056809,7.99295,1.8110149,1.7960712,19.414787,22.204159,23.948425,1
258,258,20,80,4963,91,54.53846,448.63733,307.8022,0,326.8568,3.5918329,327.0856,3.594347,16.624031,5.494816,5.6488175,1.5298083,1.5715837,14.239651,16.58576,18.370388,1
259,259,27,80,2726,51,53.45098,448.09805,509.01962,0,148.72215,2.9161208,148.99655,2.9215012,10.453097,5.46919,5.485201,1.8755019,1.8775282,29.378807,32.405502,35.209602,0
260,260,22,94,6188,105,58.933334,452.5048,201.11429,0,406.81775,3.874455,406.83557,3.8746247,17.103754,6.206823,6.256226,1.601986,1.6146663,25.564487,25.835735,26.013176,0
261,261,28,73,8650,156,55.44872,454.1667,174.78847,0,734.4187,4.7078123,734.4286,4.7078757,9.6371975,7.38036,7.368288,1.5676836,1.5650983,22.47894,24.753078,27.396688,0
262,262,19,104,5004,84,59.57143,455.11905,50.666668,0,289.8147,3.450175,289.92767,3.45152,27.163212,5.2036185,5.248559,1.5082186,1.5206515,14.090633,18.78661,23.535452,0
263,263,16,75,7720,138,55.94203,455.1087,379.2174,0,609.9984,4.4202785,610.28564,4.42236,14.322258,6.904199,7.050255,1.5619376,1.5942291,17.341022,19.957401,21.71638,1
264,264,24,76,5245,96,54.635418,454.9896,437.07294,0,354.2505,3.6901093,354.31677,3.6907997,11.595725,5.7739496,5.783624,1.5647097,1.5670382,16.256685,17.429037,18.12759,0
265,265,16,239,9639,126,76.49999,455.8968,36.70635,0,540.33295,4.2883563,540.99695,4.2936263,76.94471,7.2943816,7.4426546,1.7009737,1.7334193,12.080183,17.007397,20.337425,1
266,266,17,98,5084,89,57.123592,456.2247,315.11234,0,318.00433,3.5730822,318.30713,3.5764844,20.031897,5.6355534,5.7756305,1.5772246,1.6148905,14.001682,16.11567,17.173285,1
267,267,33,70,6754,129,52.35659,456.4186,348.90698,0,555.2948,4.3046107,555.3037,4.30468,7.5336957,6.986541,7.0091815,1.6230366,1.6282701,21.444347,22.444233,23.323925,0
268,268,16,194,11152,144,77.44444,460.63196,453.24307,0,655.82324,4.554328,656.57416,4.5595427,63.44527,7.1821666,7.405372,1.5769981,1.624148,16.110567,17.180351,18.742615,1
269,269,21,99,5293,89,59.471905,461.56177,413.3483,0,317.82428,3.571059,317.9022,3.5719345,21.234959,5.7844434,5.8906555,1.6198118,1.6491499,14.930463,16.170292,17.124094,1
270,270,16,183,10432,131,79.63359,462.58014,254.9313,0,564.82,4.311603,564.843,4.3117785,48.42894,6.7250905,6.675969,1.5597657,1.5483098,14.823263,16.682348,18.006437,1
271,271,19,76,5535,106,52.216984,463.95285,424.56604,0,412.8138,3.89447,413.26114,3.89869,15.114659,6.3008037,6.5554204,1.6178848,1.6814418,13.428415,15.085058,16.109667,1
272,272,20,116,10925,167,65.41917,463.69464,468.02396,0,813.38165,4.870549,813.4441,4.870923,27.261501,7.936393,8.023434,1.6294657,1.6472101,15.946009,17.603664,19.787376,1
273,273,16,111,10407,157,66.28663,465.69427,488.84714,0,747.39954,4.7605066,747.5194,4.76127,26.272469,7.8777905,7.9335856,1.6548219,1.666275,23.84377,24.97595,25.637121,0
274,274,15,147,5875,100,58.75,466.65,266.08,0,380.34897,3.8034897,382.02554,3.8202553,40.811367,6.969126,7.2240305,1.8322979,1.8909811,10.49383,10.951991,14.877523,3
275,275,32,64,5019,97,51.742268,467.73193,228.93814,0,359.41034,3.7052612,359.44153,3.7055826,6.7507586,5.643465,5.6239057,1.523095,1.5176846,24.497631,25.164684,26.803017,0
276,276,21,87,5149,88,58.511364,467.9659,294.04547,0,311.123,3.5354886,311.1473,3.535765,19.874605,5.400206,5.439084,1.5274285,1.5383048,17.7328,18.658226,19.924738,0
277,277,22,80,5523,95,58.136845,469.9474,135.62106,0,348.71484,3.6706827,348.73947,3.670942,14.788765,5.598805,5.609544,1.5252762,1.5280938,26.47234,30.038115,32.5167,0
278,278,23,68,5878,114,51.561405,471.58774,392.5965,0,457.77853,4.015601,457.81763,4.015944,8.335125,6.002864,6.0420003,1.4948854,1.5045031,21.6169,22.093552,22.610659,0
279,279,19,73,5057,94,53.79787,473.14893,274.20212,0,345.8773,3.6795454,346.03192,3.6811905,12.554207,6.251751,6.1664343,1.6990552,1.6751196,10.195446,12.713855,14.662661,2
280,280,16,255,10901,129,84.503876,475.4341,18.271318,0,559.40826,4.3364983,559.44946,4.3368177,75.24319,7.832946,7.85353,1.8062836,1.8108969,14.965286,17.156809,19.583061,1
281,281,18,72,4983,98,50.84694,475.61224,308.94897,0,366.9881,3.7447765,367.2054,3.746994,11.902112,6.0819197,6.2341876,1.6241075,1.6637837,15.217259,16.926056,17.998766,1
282,282,22,83,5261,93,56.569893,474.957,440.27957,0,343.36395,3.6920855,343.40503,3.6925273,15.010675,6.0937443,6.130712,1.6504884,1.6603024,16.81372,17.64912,18.292652,0
283,283,21,86,7864,139,56.57554,475.17264,322.6259,0,618.7923,4.451743,618.9226,4.4526806,15.637521,6.873253,7.002012,1.5439464,1.5725385,17.033623,18.783884,20.811872,1
284,284,22,69,5969,116,51.456898,477.39655,7.698276,0,475.86392,4.1022754,475.85904,4.102233,10.655575,7.2592435,7.312047,1.7695651,1.7824553,14.761345,18.029018,20.467487,1
285,285,18,107,5254,91,57.73626,477.1868,265.06592,0,328.01147,3.6045215,328.39948,3.6087852,26.723999,6.20492,6.366976,1.7214267,1.7642989,10.287106,12.784142,15.462033,2
286,286,29,65,4344,83,52.33735,478.39758,158.31325,0,289.4041,3.4867964,289.5132,3.4881108,8.335259,5.8508296,5.7700896,1.6779958,1.6542163,23.633472,25.522766,27.768381,0
287,287,20,75,5047,99,50.979797,479.29294,357.52524,0,372.62057,3.7638443,372.63687,3.7640088,10.989416,5.90736,5.965667,1.5695018,1.5849237,15.169457,16.786451,18.700838,1
288,288,19,100,5197,86,60.430233,479.84885,415.30234,0,301.51694,3.5060108,301.51035,3.5059342,21.004177,5.548756,5.5640664,1.5826409,1.5870425,17.370888,17.713371,18.248386,0
