mean_curvature_radius03,gaussian_curvature_radius03,mean_curvature_radius06,gaussian_curvature_radius06,mean_curvature_radius09,gaussian_curvature_radius09,mean_curvature_radius12,gaussian_curvature_radius12,mean_curvature_radius15,gaussian_curvature_radius15,mean_curvature_radius18,gaussian_curvature_radius18
0.26788512556800353,0.07153658525037317,0.1973086917548657,0.038618014359009856,0.15926017988746352,0.01756308183054378,0.08704535213838373,0.002627625536831533,0.045746942958363214,-0.0008402102780170529,-0.006616200463682612,-6.032925057828459e-05
0.2855366345370993,0.07550832443268823,0.19947622774974477,0.03967262519330526,0.16678063749732822,0.020112946282595457,0.09380312116839684,0.0035056880244046748,0.03824868631674982,-0.00037184786706434845,-0.01148506420951934,7.271449872574967e-05
0.34813605000851355,0.10704683687680852,0.22982364932865254,0.05309459623501622,0.1607119378334187,0.019257708498305968,0.09538127659546852,0.003915076597701444,0.04333717950713448,-0.0003655083906227445,-0.008166174372285385,-7.922512357990756e-06
0.33280918303370277,0.10760711369948994,0.2334128195728499,0.05310705865423316,0.15299753364977087,0.016927078120315818,0.09056870428604213,0.003377312548368322,0.04957354087728256,-0.0006395088489527813,-0.005167939991175356,-7.703960432784084e-05
0.18269231348922546,0.020519825995467814,0.10677082592556925,0.008510212418548038,0.14573230025083508,0.01302030769941132,0.08413996785009394,0.0023658050567297063,0.00655635120466526,-0.00041287719117904387,-0.026744903151448556,0.0007149804970528034
0.21864643779791343,0.004993454428534916,0.0965125226655616,0.0029010917189582516,0.12691958778838902,0.008473311859500213,0.07739858147266813,0.0020769464644574687,0.006720436541656347,-0.00024863340043391937,-0.026762850616809258,0.0007103673383275806
0.3296229680856739,0.029874202474811973,0.1275021619878803,0.005856262705632811,0.14907900722500692,0.014663688989414385,0.09204118739892637,0.003394908879309594,0.01148201017175801,-0.00020890665393581085,-0.023556727103681726,0.0005540755017896107
0.27720434476358824,0.020725273420570196,0.18434391075513587,0.02260786859975811,0.15937553052505277,0.01801879096425754,0.11056683899850873,0.005045552099736941,0.020018185978835,-0.000151788654120563,-0.01804751779331705,0.00031816478781002735
0.19668514540810336,0.028320798789512148,0.15029226461302644,0.01790609971990517,0.1609644622950088,0.017615450682639637,0.1006686702216764,0.0036051828310544047,0.01806540425159407,-0.00025297706729096006,-0.021526891727671492,0.0004633601102653322
0.3227046641373947,0.08957732123512009,0.21069072328174343,0.03595303063515915,0.15925314723384407,0.018566249488845308,0.10673319638288367,0.005023182786401455,0.028113859071612377,-0.00018390109252637468,-0.01355392169020194,0.00015199142997289098
0.2088913201399892,0.04085773754661608,0.1940686314854784,0.03636061782154086,0.16526987155509393,0.018819301859648415,0.09915854863023499,0.0035899646382753446,0.023859217901643148,-0.0004237359022748559,-0.017341697902281048,0.0002832140107612966
0.34689345323045345,0.11337292784535298,0.274895408354235,0.06109976785221472,0.14985217960142633,0.016463492091518827,0.10537415712635982,0.005949954837171582,0.034689917891163366,-0.00017269283162015396,-0.010237949428236949,6.366023930380919e-05
