Spot center intensity Center ch1,Aspect ratio between short and middle semi-axes,Aspect ratio between short and long semi-axes,Aspect ratio between middle and long semi-axes,Short semi-axis,Middle semi-axis,Long semi-axis,Volume,Spot intensity Mean ch1,Spot intensity Std ch1,Spot intensity Min ch1,Spot intensity Max ch1,Spot intensity Median ch1,Spot intensity Sum ch1,Spot quick mean Mean ch1,Spot radius
1411.4551499011152,0.9551404075685798,0.3405952215733171,0.35659178365235494,4.58833950835101,4.803837710134323,13.471532240399666,1243.7969188623363,1175.9130434782608,304.0918637973881,498.0,2252.0,1119.0,432736.0,1175.9130434782608,6.671450823592926
1384.2480744375514,0.6912974396312966,0.46636464056473975,0.6746222592889615,4.242852204317821,6.137520495636069,9.097714181718366,992.3657280026063,1101.749140893471,285.1379260160031,523.0,2078.0,1076.0,320609.0,1101.749140893471,6.187678150540985
1216.2094498659897,0.7692821810872877,0.3660544432930943,0.4758389733864892,4.4361448767401805,5.766602926471303,12.118811717819325,1298.597063625548,1085.3605263157895,210.61759673040783,487.0,1573.0,1099.0,412437.0,1085.3605263157895,6.768024711534067
1329.5072507265982,0.7479970159712499,0.3343471154418019,0.44698990544455985,4.369630836233313,5.841775759706058,13.069144713449493,1397.4150172903057,1106.6461916461917,260.8461272427284,545.0,2052.0,1091.0,450405.0,1106.6461916461917,6.935518463920036
1214.9699916884013,0.7537877697663322,0.3839636568224177,0.5093789952859584,4.242863635750212,5.628724431368081,11.050169880303352,1105.4182367207045,1059.2743902439024,357.46412880012434,365.0,2129.0,1024.0,347442.0,1059.2743902439024,6.414251807885422
1215.9135269804115,0.8421374067851086,0.39494766988969005,0.46898245667226407,4.2428540014639395,5.038196815958093,10.742825758787184,961.9231084455516,1073.206106870229,278.6733133881807,436.0,1935.0,1057.0,281180.0,1073.206106870229,6.123747138999619
1155.6802192737357,0.8657737416581094,0.4560186848902103,0.5267180822749996,4.242852077315004,4.900647678675487,9.304118927356015,810.3548469436596,1021.4675925925926,275.4494489827037,414.0,1997.0,1024.0,220637.0,1021.4675925925926,5.783563944313501
1294.410730856775,0.7289514695801427,0.3375468673360141,0.46305807920303993,4.242858728202203,5.8204954722788065,12.569687764213823,1300.2642630389469,1106.3552631578948,260.0632307904472,572.0,2019.0,1059.0,420415.0,1106.3552631578948,6.770919841404662
1255.8354592873,0.7005438813084379,0.5098138729337963,0.7277400981385971,4.579521186720842,6.537093976422234,8.98273160039239,1126.4238404680245,1063.3343108504398,206.25177281635987,552.0,1666.0,1028.0,362597.0,1063.3343108504398,6.45462587725857
1374.0358364521587,0.7509672146326403,0.47125526762334413,0.6275310805064557,4.317964126167956,5.749870356564403,9.16268617631482,952.9025826365045,1188.5205479452054,302.9606763222529,548.0,2099.0,1171.0,347048.0,1188.5205479452054,6.104544982110388
