label,frame,centroid-z,centroid-y,centroid-x
1,0,11.048913043478262,76.38315217391305,61.37771739130435
2,0,13.481099656357388,3.4604810996563575,113.27491408934708
3,0,11.605263157894736,20.044736842105262,35.776315789473685
4,0,11.388206388206388,35.28992628992629,79.24815724815724
5,0,15.637195121951219,95.96036585365853,143.33841463414635
6,0,13.114503816793894,97.25954198473282,114.95038167938931
7,0,14.171296296296296,97.5925925925926,129.56944444444446
8,0,11.489473684210527,50.16315789473684,36.33684210526316
9,0,12.407624633431086,26.3841642228739,97.95014662756599
10,0,12.534246575342467,7.188356164383562,25.96917808219178
11,0,12.48607594936709,22.865822784810128,18.356962025316456
12,0,13.29889298892989,30.487084870848708,3.678966789667897
13,0,14.41255605381166,14.784753363228699,2.4484304932735426
14,0,13.848249027237355,3.2840466926070038,11.186770428015564
15,0,11.904899135446685,40.403458213256485,19.195965417867434
16,0,14.580645161290322,79.20967741935483,129.9741935483871
17,0,12.7683284457478,81.9882697947214,118.55718475073314
18,0,15.393501805054152,82.35379061371842,144.6245487364621
19,0,17.445283018867926,61.35094339622641,147.38867924528302
20,0,12.506234413965087,41.99750623441396,95.18453865336659
21,0,13.528822055137844,19.571428571428573,115.08020050125313
22,0,10.838790931989925,39.740554156171285,63.28463476070529
23,0,11.629213483146067,15.876404494382022,69.50561797752809
24,0,11.594036697247706,6.5963302752293576,47.97018348623853
25,0,12.151670951156813,49.31619537275064,8.951156812339331
26,0,13.5,56.16867469879518,1.8674698795180722
27,0,13.822289156626505,57.355421686746986,124.04819277108433
28,0,14.469026548672566,50.51032448377581,134.87610619469027
29,0,12.64102564102564,65.78717948717949,114.14358974358974
30,0,12.166328600405679,55.910750507099394,100.66125760649088
31,0,14.625,68.97435897435898,143.47435897435898
32,0,13.233333333333333,42.1,114.44761904761904
33,0,14.741935483870968,6.857142857142857,131.2442396313364
34,0,11.0,83.48104956268222,102.4460641399417
35,0,10.607344632768362,23.60169491525424,54.51412429378531
36,0,10.635897435897435,36.02564102564103,44.96153846153846
37,0,12.457142857142857,6.536507936507936,95.86984126984127
38,0,11.924581005586592,14.815642458100559,84.56145251396649
39,0,22.310618066561013,66.06656101426307,34.91679873217116
40,0,11.356973995271868,94.14893617021276,96.38770685579196
41,0,10.290322580645162,57.754342431761785,51.84615384615385
42,0,10.011764705882353,57.79764705882353,67.4164705882353
43,0,14.547528517110266,31.03041825095057,126.26235741444867
44,0,15.816326530612244,5.530612244897959,146.7704081632653
45,0,11.215827338129497,72.32374100719424,41.51558752997602
46,0,12.590551181102363,73.3490813648294,92.81364829396325
47,0,10.781531531531531,72.66441441441441,76.8536036036036
