Label,ID,Branch spot ID,Spot N links outgoing,Spot N links total,Spot N links incoming,Spot center intensity,Spot ellipsoid aspect ratios short/middle,Spot ellipsoid aspect ratios short/long,Spot ellipsoid aspect ratios middle/long,Spot ellipsoid properties short semi-axis,Spot ellipsoid properties middle semi-axis,Spot ellipsoid properties long semi-axes,Spot ellipsoid volume,frame,Spot intensity mean,Spot intensity std,Spot intensity min,Spot intensity max,Spot intensity median,Spot intensity sum,Spot position X,Spot position Y,Spot position Z,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,N outgoing links,Spot N links,N incoming links,Center ch1,Aspect ratio between short and middle semi-axes,Aspect ratio between short and long semi-axes,Aspect ratio between middle and long semi-axes,Short semi-axis,Middle semi-axis,Long semi-axis,Volume, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,X,Y,Z,Mean ch1, , ,
,,,,,,(Counts),,,,(pixel),(pixel),(pixel),,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(pixel),(pixel),(pixel),(Counts),(pixel),,
19,19,19,1,1,0,1211.468515,0.789440229,0.333333193,0.422239937,4.41651572,5.594490323,13.24955275,1371.292609,0,1079.124688,227.228287,492,1832,1094,432729,95.1014,42.0163,62.508,1079.124688,6.892030256,19,31
20,20,20,1,1,0,1206.941873,0.733235844,0.381261661,0.51997139,4.489066814,6.122268643,11.77424136,1355.470266,0,1045.478697,288.9256984,352,1915,998,417146,115.128,19.5615,67.6735,1045.478697,6.865420281,20,31
21,21,21,1,1,0,1127.532166,0.888616124,0.389284724,0.438079744,4.859269378,5.468356072,12.48255859,1389.376611,0,999.7178841,214.4603658,415,1643,993,396888,63.3004,39.775,54.2915,999.7178841,6.922194397,21,31
22,22,22,1,1,0,1083.534617,0.62862175,0.33642562,0.535179732,4.242862806,6.749468666,12.61159244,1512.819491,0,948.8898876,183.7299576,501,1423,966,422256,69.5107,15.8987,58.167,948.8898876,7.121412906,22,31
23,23,23,1,1,0,1164.801987,0.635178608,0.338689287,0.533218975,4.242843605,6.67976464,12.5272448,1487.175964,0,1030.763761,206.1932843,555,1713,1041,449413,47.9941,6.63849,57.921,1030.763761,7.080945463,23,42
24,24,24,1,1,0,1217.55791,0.687813333,0.339732448,0.493931176,4.242859011,6.168619893,12.48882476,1369.168162,0,1057.125964,216.5225806,522,1741,1061,411222,8.94862,49.3312,60.604,1057.125964,6.888469303,24,31
25,25,25,1,1,0,779.0753338,1,0.403386338,0.403386338,4.24285479,4.24285479,10.51809243,793.1255291,0,635.6385542,197.2793791,340,1168,601,105516,0.694494,56.1727,67.494,635.6385542,5.742280986,25,31
26,26,26,1,1,0,1275.108068,0.674186355,0.436371661,0.647256737,4.24286544,6.293312535,9.723054506,1087.501559,0,1117.912651,323.0515961,438,2090,1093,371147,124.059,57.4014,69.0985,1117.912651,6.379408699,26,31
27,27,27,1,1,0,1192.263208,0.869143938,0.421918501,0.485441458,4.651834306,5.35220244,11.02543334,1149.84962,0,999.1415929,304.3716741,348,1812,922,338709,134.783,50.5072,72.3765,999.1415929,6.499063978,27,31
28,28,28,1,1,0,1255.827237,0.718771364,0.387183049,0.538673449,4.443202372,6.181663039,11.47571512,1320.291387,0,1067.961538,300.1151468,469,2035,1034,416505,114.1,65.7518,63.052,1067.961538,6.805505568,28,31
29,29,29,1,1,0,1183.468894,0.598618343,0.333333039,0.556837329,4.399593761,7.349580602,13.19879294,1787.713665,0,1065.077079,225.6541127,499,1664,1051,525083,100.633,55.9083,60.667,1065.077079,7.528985316,29,31
30,30,30,1,1,0,1172.087444,0.62000711,0.513896265,0.828855437,4.242851049,6.843229664,8.2562403,1004.129751,0,981.6794872,308.2447766,358,2034,973,306284,143.471,68.9882,73.3995,981.6794872,6.212032825,30,31
31,31,31,1,1,0,1271.611794,0.636589281,0.345358243,0.542513443,4.24285093,6.664973878,12.28536171,1455.233829,0,1138.452381,278.4241885,474,1836,1142,478150,114.454,42.1401,66.1555,1138.452381,7.029882362,31,31
32,32,32,1,1,0,964.9515283,0.512678014,0.418822301,0.81693049,4.242851971,8.275860978,10.13043469,1490.005106,0,869.421659,250.6131596,341,1812,858,377329,131.259,6.88067,73.5545,869.421659,7.085432784,32,35
33,33,33,1,1,0,1460.669589,0.699670695,0.3893203,0.556433624,4.242851627,6.064069367,10.89810016,1174.522686,0,1178.119534,311.3568406,578,2180,1117,404095,102.449,83.4539,54.9465,1178.119534,6.545220271,33,31
34,34,34,1,1,0,1196.050141,0.819228023,0.401451984,0.490036929,4.539052354,5.540645859,11.30658841,1191.093286,0,1039.324859,239.7554209,442,1736,1016,367921,54.4719,23.6344,52.9345,1039.324859,6.575857434,34,31
35,35,35,1,1,0,1208.498284,0.69503247,0.3433353,0.493984547,4.249237545,6.113725222,12.37634915,1346.784433,0,1078.351282,211.5411613,491,1703,1067,420557,44.9554,36.0366,53.21,1078.351282,6.850724342,35,31
36,36,36,1,1,0,1298.597329,0.695365682,0.434348699,0.624633499,4.242852655,6.101613531,9.768309801,1059.279776,0,1112.460317,299.1541167,436,2063,1086,350425,95.876,6.53417,62.233,1112.460317,6.323740263,36,33
37,37,37,1,1,0,1155.575277,0.855460941,0.410380412,0.479718468,4.674978892,5.464865395,11.39181784,1219.104024,0,1046.879888,193.0324992,454,1583,1055,374783,84.5738,14.8563,59.441,1046.879888,6.627006325,37,31
38,38,38,1,1,0,633.8951917,0.680545745,0.591950376,0.869817173,7.690282438,11.30016974,12.99143095,4729.03857,0,615.7583201,59.92222879,449,824,616,777087,34.8617,66.0886,111.421,615.7583201,10.41265347,38,62
39,39,39,1,1,0,1261.180764,0.710904899,0.333333699,0.468886485,4.360824941,6.134188904,13.08246047,1465.898294,0,1107.293144,311.5877306,524,2300,1052,468385,96.395,94.1513,56.686,1107.293144,7.047013065,39,26
40,40,40,1,1,0,1131.639728,0.719767071,0.341741754,0.474794927,4.331105671,6.017371242,12.67362159,1383.55023,0,988.7146402,216.3952769,486,1674,973,398452,51.8525,57.7559,51.43,988.7146402,6.912504715,40,31
41,41,41,1,1,0,1109.117671,0.865839648,0.340949231,0.393778723,4.71901096,5.450213526,13.84080248,1491.126139,0,987.9811765,209.2203962,368,1615,979,419892,67.3637,57.7218,50.0485,987.9811765,7.087209291,41,31
42,42,42,1,1,0,1390.277493,0.794251928,0.533021117,0.671098298,4.341446916,5.466082941,8.144981086,809.6352382,0,1145.334601,303.7493729,614,2137,1100,301223,126.283,31.105,72.761,1145.334601,5.78185147,42,31
43,43,43,1,1,0,1173.34005,0.908743471,0.5735327,0.631127175,4.242851354,4.668920864,7.397749695,613.8504403,0,987.75,267.0677313,443,1752,936,193599,146.986,5.50812,79.1015,987.75,5.272193251,43,39
44,44,44,1,1,0,1209.893761,0.737759407,0.362906853,0.491904067,4.515686577,6.120811929,12.44310087,1440.622049,0,1038.002398,201.2055911,613,1751,1011,432847,41.5465,72.3383,56.082,1038.002398,7.006274513,44,31
45,45,45,1,1,0,1251.7068,0.795065673,0.355995191,0.447755705,4.442619747,5.58773935,12.47943753,1297.653979,0,1138.622047,283.4779838,565,2202,1133,433815,92.812,73.2818,62.9095,1138.622047,6.766385927,45,31
46,46,46,1,1,0,1208.663525,0.755193336,0.361055716,0.478097064,4.65188414,6.159858569,12.88411713,1546.475002,0,1064.880631,233.6744019,460,1754,1056,472807,76.8273,72.682,54.12,1064.880631,7.173835793,46,31
47,47,47,1,1,0,1171.169613,0.737986699,0.464361744,0.629227796,4.242852643,5.74922644,9.136955604,933.5927854,0,1042.738676,216.3639239,498,1530,1045,299266,84.5789,56.3414,53.181,1042.738676,6.063028726,47,31
48,48,48,1,1,0,1046.724008,0.812723161,0.469230076,0.577355363,4.625741239,5.691656716,9.858151636,1087.186715,0,947.9090909,216.7737974,407,1600,960,312810,136.759,23.4175,81.54,947.9090909,6.378793002,48,31
49,49,49,1,1,0,774.682911,0.946854337,0.574198332,0.606427313,4.242848883,4.480994296,7.389169645,588.4589895,0,625.9855072,195.3722251,286,1094,644,86386,148.932,24.8451,95.358,625.9855072,5.198473855,49,31
50,50,50,1,1,0,901.0002524,0.67729842,0.494096147,0.729510261,4.242851652,6.264375531,8.58709722,956.0280196,0,783.9118644,173.6062449,382,1345,769,231254,140.775,39.2849,87.121,783.9118644,6.111211823,50,35
51,51,51,1,1,0,1217.841712,1,0.387516162,0.387516162,4.242853707,4.242853707,10.94884324,825.6062313,0,1061.15534,307.4763289,473,1647,1086,218598,4.23075,98.4537,57.5935,1061.15534,5.819622098,51,24
52,52,52,1,1,0,1300.480236,0.678860039,0.33333315,0.49101896,4.256525442,6.27010753,12.76958333,1427.563904,0,1146.214112,269.4681897,510,2052,1162,471094,79.2101,88.6216,58.676,1146.214112,6.985041376,52,31
53,53,53,1,1,0,1238.506361,0.693925142,0.354647159,0.511074087,4.242852877,6.11428037,11.96358908,1300.030133,0,1103.121469,268.9249913,474,1781,1076,390505,68.4135,96.5846,54.12,1103.121469,6.770513419,53,28
54,54,54,1,1,0,1219.577263,0.929049656,0.333333643,0.358789911,4.300158234,4.628555865,12.90046272,1075.533257,0,1106.471875,230.2099883,577,1605,1118,354071,51.7281,88.353,52.6995,1106.471875,6.355919844,54,43
55,55,55,1,1,0,1026.300474,1,0.368008773,0.368008773,4.242853578,4.242853578,11.52921858,869.3698432,0,894.2264151,184.6882141,407,1285,925,236970,30.6734,81.7623,60.14,894.2264151,5.92068543,55,31
56,56,56,1,1,0,1223.334526,0.790696722,0.390033821,0.493278662,4.406041248,5.572352998,11.29656201,1161.77514,0,1056.778761,224.4203079,511,1655,1048,358248,17.5538,72.3966,63.6525,1056.778761,6.52145482,56,31
57,57,57,1,1,0,1100.62914,0.694738688,0.347233454,0.499804402,4.38117861,6.306225187,12.61738625,1460.220499,0,962.4292566,180.2961784,375,1384,975,401333,25.3441,60.518,56.3665,962.4292566,7.037903005,57,33
58,58,58,1,1,0,1140.635224,0.828500046,0.333333233,0.402333391,4.496406114,5.427164589,13.4892224,1378.840548,0,1046.832,208.086703,512,1550,1059,392562,21.829,96.4215,54.386,1046.832,6.904652282,58,27
59,59,59,1,1,0,980.0785071,1,0.408417965,0.408417965,4.242850976,4.242850976,10.38850231,783.3522697,0,786.9673913,251.8040461,310,1323,771,144802,36.2023,98.86,54.487,786.9673913,5.71859709,59,25
60,60,60,1,1,0,1103.915865,0.941307639,0.369305617,0.39233254,4.242850699,4.507400686,11.48872507,920.3316596,0,943.3914894,233.5014411,464,1586,949,221697,1.82448,71.0373,62.7915,943.3914894,6.034184491,60,31
61,61,61,1,1,0,1205.92589,0.966554518,0.387689746,0.401104892,4.242851788,4.389666292,10.94393605,853.7909029,0,1036.950673,249.885239,462,1633,1023,231240,2.03134,87.1601,68.073,1036.950673,5.885106204,61,32
62,62,62,1,1,0,1126.297712,0.89498662,0.460532518,0.514569166,5.214433124,5.826269364,11.32261658,1440.897445,0,1013.793765,181.9939788,549,1527,1031,422752,12.7782,85.7846,55.5765,1013.793765,7.006720935,62,31
63,63,63,1,1,0,652.9004878,0.58164449,0.48538999,0.834513175,6.448513242,11.08669187,13.28522089,3978.496339,0,588.6136784,88.65351339,349,936,583,636880,83.7891,9.61734,101.968,588.6136784,9.829772149,63,38
64,64,64,1,1,0,766.826727,0.779891888,0.652897934,0.837164669,9.233366297,11.83929008,14.14212821,6475.735563,0,741.5765827,79.80189468,540,1027,740,1089376,9.34521,7.67106,130.5945,741.5765827,11.56290166,64,50
65,65,65,1,1,0,606.3188087,0.894612622,0.420866571,0.470445599,5.599313631,6.258925367,13.30424895,1953.050798,0,582.4916821,43.93288679,422,710,585,315128,63.6417,9.24774,109.0395,582.4916821,7.754282935,65,15
66,66,66,1,1,0,795.9942738,0.976855356,0.726469455,0.743681703,10.27382432,10.51724215,14.14212842,6400.84623,0,743.0779456,90.06557783,506,1109,738,1229794,65.1504,81.3989,126.1065,743.0779456,11.51815526,66,22
67,67,67,1,1,0,630.8663189,0.551870718,0.43925243,0.795933569,4.309413765,7.808737856,9.810790948,1382.902842,0,576.3592965,55.67953512,426,740,571,229391,73.7645,96.9181,113.881,576.3592965,6.911426384,67,15
68,68,68,1,1,0,637.6828745,0.742085219,0.610443648,0.822605858,5.075364478,6.839328356,8.314222769,1208.901611,0,584.1444142,77.5157193,374,810,577,214381,103.085,84.0756,110.14,584.1444142,6.608467863,68,43
69,69,69,1,1,0,537.9333124,0.831749119,0.831288909,0.999446697,5.126664826,6.163715369,6.167127662,816.2985934,0,505.9141631,62.34588873,360,652,504,117878,143.081,79.7586,137.785,505.9141631,5.797669836,69,12
70,70,70,1,1,0,704.7200234,0.664444275,0.438346288,0.659718662,5.20807533,7.838242467,11.88118953,2031.629378,0,654.7361111,71.27770417,467,921,652,377128,12.7807,83.1554,121.302,654.7361111,7.856913255,70,14
71,71,71,1,1,0,585.929687,0.613440874,0.361987795,0.590094025,5.119282505,8.345193024,14.14214119,2530.750091,0,558.5837104,51.09015644,378,740,560,370341,49.7473,96.1558,107.355,558.5837104,8.453830785,71,12
72,72,72,1,1,0,673.5791199,0.612197228,0.612196912,0.999999484,8.657785979,14.14215156,14.14215886,7253.149912,0,650.7447552,83.63250238,388,932,654,1116678,116.598,69.0503,131.4735,650.7447552,12.00823969,72,47
73,73,73,1,1,0,678.4493138,0.566667884,0.381241558,0.672777775,5.176838387,9.135577526,13.57889316,2690.008147,0,643.5977809,67.07296355,425,944,642,464034,118.482,81.1029,135.1895,643.5977809,8.627566763,73,31
74,74,74,1,1,0,636.7734932,0.689462709,0.627599857,0.910273825,7.273994061,10.55023567,11.59017801,3725.750928,0,580.3894283,97.26277791,295,865,594,538021,122.353,92.541,134.6025,580.3894283,9.617046952,74,12
75,75,75,1,1,0,722.4232801,0.828660886,0.791280145,0.954890183,9.97779517,12.04086658,12.60968727,6345.783537,0,686.3512523,72.53738194,452,916,684,1123557,94.7286,10.4446,124.805,686.3512523,11.48503214,75,31
76,76,76,1,1,0,684.8389866,0.55002595,0.404034605,0.734573714,5.713913086,10.38844273,14.14213786,3516.314858,0,621.5782609,68.49133099,416,810,625,571852,9.69121,95.3937,118.7995,621.5782609,9.433359428,76,29
77,77,77,1,1,0,625.2128522,0.408589116,0.333333414,0.815815694,4.36851351,10.69170307,13.10553738,2564.035388,0,580.7057057,53.42129786,402,737,583,386750,31.4599,97.1285,108.8455,580.7057057,8.490732041,77,24
78,78,78,1,1,0,664.9356107,0.691245943,0.584942161,0.84621424,7.526121398,10.88776212,12.8664369,4416.281486,0,640.217597,76.29508077,402,859,644,676710,121.824,45.9891,133.3775,640.217597,10.17785,78,42
